sepal.width,petal.length,petal.width,sepal.length,class
3.5,1.4,0.2,5.1,Setosa
3,1.4,0.2,4.9,Setosa
3.2,1.3,0.2,4.7,Setosa
3.1,1.5,0.2,4.6,Setosa
3.6,1.4,0.2,5,Setosa
3.9,1.7,0.4,5.4,Setosa
3.4,1.4,0.3,4.6,Setosa
3.4,1.5,0.2,5,Setosa
2.9,1.4,0.2,4.4,Setosa
3.1,1.5,0.1,4.9,Setosa
3.7,1.5,0.2,5.4,Setosa
3.4,1.6,0.2,4.8,Setosa
3,1.4,0.1,4.8,Setosa
3,1.1,0.1,4.3,Setosa
4,1.2,0.2,5.8,Setosa
4.4,1.5,0.4,5.7,Setosa
3.9,1.3,0.4,5.4,Setosa
3.5,1.4,0.3,5.1,Setosa
3.8,1.7,0.3,5.7,Setosa
3.8,1.5,0.3,5.1,Setosa
3.4,1.7,0.2,5.4,Setosa
3.7,1.5,0.4,5.1,Setosa
3.6,1,0.2,4.6,Setosa
3.3,1.7,0.5,5.1,Setosa
3.4,1.9,0.2,4.8,Setosa
3,1.6,0.2,5,Setosa
3.4,1.6,0.4,5,Setosa
3.5,1.5,0.2,5.2,Setosa
3.4,1.4,0.2,5.2,Setosa
3.2,1.6,0.2,4.7,Setosa
3.1,1.6,0.2,4.8,Setosa
3.4,1.5,0.4,5.4,Setosa
4.1,1.5,0.1,5.2,Setosa
4.2,1.4,0.2,5.5,Setosa
3.1,1.5,0.2,4.9,Setosa
3.2,1.2,0.2,5,Setosa
3.5,1.3,0.2,5.5,Setosa
3.6,1.4,0.1,4.9,Setosa
3,1.3,0.2,4.4,Setosa
3.4,1.5,0.2,5.1,Setosa
3.5,1.3,0.3,5,Setosa
2.3,1.3,0.3,4.5,Setosa
3.2,1.3,0.2,4.4,Setosa
3.5,1.6,0.6,5,Setosa
3.8,1.9,0.4,5.1,Setosa
3,1.4,0.3,4.8,Setosa
3.8,1.6,0.2,5.1,Setosa
3.2,1.4,0.2,4.6,Setosa
3.7,1.5,0.2,5.3,Setosa
3.3,1.4,0.2,5,Setosa
3.2,4.7,1.4,7,Versicolor
3.2,4.5,1.5,6.4,Versicolor
3.1,4.9,1.5,6.9,Versicolor
2.3,4,1.3,5.5,Versicolor
2.8,4.6,1.5,6.5,Versicolor
2.8,4.5,1.3,5.7,Versicolor
3.3,4.7,1.6,6.3,Versicolor
2.4,3.3,1,4.9,Versicolor
2.9,4.6,1.3,6.6,Versicolor
2.7,3.9,1.4,5.2,Versicolor
2,3.5,1,5,Versicolor
3,4.2,1.5,5.9,Versicolor
2.2,4,1,6,Versicolor
2.9,4.7,1.4,6.1,Versicolor
2.9,3.6,1.3,5.6,Versicolor
3.1,4.4,1.4,6.7,Versicolor
3,4.5,1.5,5.6,Versicolor
2.7,4.1,1,5.8,Versicolor
2.2,4.5,1.5,6.2,Versicolor
2.5,3.9,1.1,5.6,Versicolor
3.2,4.8,1.8,5.9,Versicolor
2.8,4,1.3,6.1,Versicolor
2.5,4.9,1.5,6.3,Versicolor
2.8,4.7,1.2,6.1,Versicolor
2.9,4.3,1.3,6.4,Versicolor
3,4.4,1.4,6.6,Versicolor
2.8,4.8,1.4,6.8,Versicolor
3,5,1.7,6.7,Versicolor
2.9,4.5,1.5,6,Versicolor
2.6,3.5,1,5.7,Versicolor
2.4,3.8,1.1,5.5,Versicolor
2.4,3.7,1,5.5,Versicolor
2.7,3.9,1.2,5.8,Versicolor
2.7,5.1,1.6,6,Versicolor
3,4.5,1.5,5.4,Versicolor
3.4,4.5,1.6,6,Versicolor
3.1,4.7,1.5,6.7,Versicolor
2.3,4.4,1.3,6.3,Versicolor
3,4.1,1.3,5.6,Versicolor
2.5,4,1.3,5.5,Versicolor
2.6,4.4,1.2,5.5,Versicolor
3,4.6,1.4,6.1,Versicolor
2.6,4,1.2,5.8,Versicolor
2.3,3.3,1,5,Versicolor
2.7,4.2,1.3,5.6,Versicolor
3,4.2,1.2,5.7,Versicolor
2.9,4.2,1.3,5.7,Versicolor
2.9,4.3,1.3,6.2,Versicolor
2.5,3,1.1,5.1,Versicolor
2.8,4.1,1.3,5.7,Versicolor
